model,subject,accuracy,kappa
csp_lda,1,0.5964285714285714,0.194
csp_svm,1,0.5607142857142857,0.15
riemann_lr,1,0.7714285714285715,0.5439999999999999
eegnet,1,0.7892857142857143,0.5820000000000001
denoising_eegnet,1,0.5928571428571429,0.18333333333333332
csp_lda,2,0.6888888888888889,0.39750550073862606
csp_svm,2,0.7555555555555554,0.5272194623300692
riemann_lr,2,0.8,0.6144955044955044
eegnet,2,0.6888888888888889,0.3871428571428571
denoising_eegnet,2,0.711111111111111,0.42622777109447557
csp_lda,3,0.5222222222222223,0.042026266416510284
csp_svm,3,0.5916666666666667,0.15526315789473685
riemann_lr,3,0.6166666666666666,0.2298311444652908
eegnet,3,0.4222222222222222,-0.1789473684210526
denoising_eegnet,3,0.5694444444444444,0.13575096277278562
csp_lda,4,0.6000000000000001,0.2155454301795765
csp_svm,4,0.5777777777777777,0.19083158832987177
riemann_lr,4,0.711111111111111,0.4151953053365121
eegnet,4,0.48888888888888893,-0.024687020296776406
denoising_eegnet,4,0.4666666666666667,-0.07071556350626118
csp_lda,5,0.5111111111111111,0.018780487804878086
csp_svm,5,0.5111111111111111,-0.009302325581395366
riemann_lr,5,0.48888888888888893,-0.04331479959386937
eegnet,5,0.5111111111111112,-0.012229122575720753
denoising_eegnet,5,0.6888888888888889,0.37795144521717045
csp_lda,6,0.6194444444444445,0.23939883645765994
csp_svm,6,0.5472222222222223,0.0
riemann_lr,6,0.5722222222222222,0.1308567854909318
eegnet,6,0.5,-0.012509413438206041
denoising_eegnet,6,0.5527777777777778,0.1252380952380953
csp_lda,7,0.9428571428571428,0.8831304347826088
csp_svm,7,0.725,0.3391304347826087
riemann_lr,7,0.8857142857142858,0.7454545454545455
eegnet,7,0.5535714285714286,0.05602597402597405
denoising_eegnet,7,0.7178571428571429,0.41185770750988143
csp_lda,8,0.44444444444444436,-0.10565295169946332
csp_svm,8,0.5111111111111111,0.04010989010989015
riemann_lr,8,0.5777777777777777,0.17107826943334598
eegnet,8,0.5333333333333334,0.07972125435540076
denoising_eegnet,8,0.5777777777777777,0.17993841665991414
csp_lda,10,0.38571428571428573,-0.24666666666666667
csp_svm,10,0.5142857142857142,0.0
riemann_lr,10,0.5392857142857143,0.06739130434782607
eegnet,10,0.4821428571428571,-0.06768115942028988
denoising_eegnet,10,0.6964285714285714,0.36770186335403726
csp_lda,11,0.6805555555555556,0.3792691029900332
csp_svm,11,0.611111111111111,0.26609756097560977
riemann_lr,11,0.7944444444444444,0.5857509627727857
eegnet,11,0.586111111111111,0.2029616724738676
denoising_eegnet,11,0.5277777777777779,0.0690465631929047
csp_lda,12,0.37777777777777777,-0.2651782363977486
csp_svm,12,0.48888888888888893,-0.05714285714285712
riemann_lr,12,0.7333333333333333,0.47087108013937284
eegnet,12,0.4444444444444445,-0.14526118297620227
denoising_eegnet,12,0.5777777777777777,0.15304441139948796
csp_lda,14,0.4305555555555555,-0.1390243902439024
csp_svm,14,0.4972222222222221,-0.019230769230769273
riemann_lr,14,0.4527777777777778,-0.09612873647533464
eegnet,14,0.6611111111111111,0.3334494773519164
denoising_eegnet,14,0.7277777777777776,0.4404700306112373
csp_lda,15,0.5166666666666666,-0.020000000000000018
csp_svm,15,0.5333333333333333,0.0
riemann_lr,15,0.4666666666666666,-0.12000000000000002
eegnet,15,0.5666666666666667,0.07999999999999999
denoising_eegnet,15,0.5833333333333333,0.07999999999999999
csp_lda,16,0.5555555555555556,0.11916912355936746
csp_svm,16,0.4444444444444445,-0.08919860627177703
riemann_lr,16,0.5333333333333334,0.09907771543022467
eegnet,16,0.39999999999999997,-0.1998899688245003
denoising_eegnet,16,0.4,-0.16903006239364723
csp_lda,17,0.9,
csp_svm,17,0.7,
riemann_lr,17,0.7,
eegnet,17,0.7,
denoising_eegnet,17,0.5,
csp_lda,18,0.4666666666666666,-0.05459313233561678
csp_svm,18,0.4444444444444445,-0.08025290498974702
riemann_lr,18,0.4666666666666666,-0.04571390345638791
eegnet,18,0.4888888888888888,-0.020801564319192757
denoising_eegnet,18,0.6222222222222222,0.2437745974955277
csp_lda,19,0.5476190476190477,0.08405797101449275
csp_svm,19,0.5238095238095238,0.05333333333333332
riemann_lr,19,0.5857142857142856,0.18461538461538465
eegnet,19,0.6666666666666666,0.33333333333333337
denoising_eegnet,19,0.48571428571428565,-0.01538461538461533
csp_lda,20,0.5555555555555556,0.1260278745644599
csp_svm,20,0.4444444444444445,-0.07825783972125436
riemann_lr,20,0.4666666666666667,-0.03864311942647312
eegnet,20,0.5111111111111111,0.023460597595594733
denoising_eegnet,20,0.39999999999999997,-0.17183777651730003
csp_lda,21,0.5333333333333334,0.0555347091932457
csp_svm,21,0.5333333333333334,0.010526315789473694
riemann_lr,21,0.4666666666666666,-0.07577861163227013
eegnet,21,0.6222222222222221,0.2506986979644233
denoising_eegnet,21,0.5333333333333332,0.03591030591030588
csp_lda,22,0.6857142857142856,0.3771690821256038
csp_svm,22,0.5142857142857142,0.0824615384615385
riemann_lr,22,0.5142857142857142,0.049106404062925726
eegnet,22,0.45714285714285713,-0.08004459308807135
denoising_eegnet,22,0.6857142857142857,0.3641627647714604
csp_lda,23,0.7,0.4
csp_svm,23,0.5666666666666667,0.07999999999999999
riemann_lr,23,0.5666666666666667,0.0
eegnet,23,0.4666666666666666,-0.12000000000000002
denoising_eegnet,23,0.6333333333333333,0.2
csp_lda,25,0.5333333333333333,0.06454033771106935
csp_svm,25,0.4888888888888888,0.04878048780487802
riemann_lr,25,0.4666666666666666,-0.044687020296776445
eegnet,25,0.5777777777777777,0.1795191762293293
denoising_eegnet,25,0.48888888888888893,-0.041267756633610306
csp_lda,26,0.6444444444444445,0.298740995995377
csp_svm,26,0.6666666666666666,0.2681318681318681
riemann_lr,26,0.7333333333333333,0.4600000000000001
eegnet,26,0.6888888888888889,0.3807022246046635
denoising_eegnet,26,0.7777777777777778,0.5565290806754222
csp_lda,27,0.4533333333333333,-0.04981684981684979
csp_svm,27,0.5066666666666666,-0.06666666666666665
riemann_lr,27,0.5333333333333333,0.03589743589743595
eegnet,27,0.5666666666666667,0.11774891774891778
denoising_eegnet,27,0.5266666666666666,0.1025641025641026
csp_lda,28,0.47333333333333333,-0.03333333333333335
csp_svm,28,0.4066666666666666,-0.20093240093240086
