pair,median_acc_diff,statistic,p_raw,p_holm,significant_0.05
csp_lda vs csp_svm,0.023809523809523836,209.5,0.08395713163370663,0.5218702619511272,False
csp_lda vs denoising_eegnet,0.0,313.5,0.7593118545226814,1.0,False
csp_lda vs eegnet,0.04444444444444451,219.5,0.07455289456444673,0.5218702619511272,False
csp_lda vs riemann_lr,0.0,304.5,0.654322660711256,1.0,False
csp_svm vs denoising_eegnet,-1.1102230246251565e-16,276.0,0.2546430095904376,1.0,False
csp_svm vs eegnet,0.03214285714285714,260.0,0.25142722569146214,1.0,False
csp_svm vs riemann_lr,-0.025000000000000022,102.5,0.0025249037146546343,0.025249037146546343,True
denoising_eegnet vs eegnet,0.06666666666666654,215.0,0.03945078830695151,0.3156063064556121,False
denoising_eegnet vs riemann_lr,-0.019444444444444375,238.0,0.30898497701861793,1.0,False
eegnet vs riemann_lr,-0.057142857142857106,160.5,0.011383357825808384,0.10245022043227545,False
